date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01 00:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,-0,-1,0,-1,6,75,97,0.0,1016,-1,2,346,4,baltimore
2010-01-01 03:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,-0,1,1,1,5,23,96,0.0,1015,-0,2,301,3,baltimore
2010-01-01 06:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,-2,-3,-1,-3,11,20,95,0.0,1015,-2,2,302,5,baltimore
2010-01-01 09:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,1,-2,2,-2,27,18,90,0.0,1015,2,10,311,17,baltimore
2010-01-01 12:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,4,4,6,4,11,51,89,0.0,1013,5,10,306,9,baltimore
2010-01-01 15:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,1,-1,3,-1,34,14,87,0.0,1012,3,10,297,19,baltimore
2010-01-01 18:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,-4,-9,-2,-9,53,11,84,0.0,1014,-2,10,304,32,baltimore
2010-01-01 21:00:00,0,0,0.0,8.7,1,100,06:11 PM,08:10 AM,07:27 AM,04:54 PM,-6,-11,-3,-11,50,22,81,0.0,1013,-3,10,311,31,baltimore
2010-01-02 00:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-7,-10,-4,-10,36,11,78,0.0,1012,-4,10,310,22,baltimore
2010-01-02 03:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-8,-13,-5,-13,58,50,75,0.0,1012,-4,10,306,36,baltimore
2010-01-02 06:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-8,-11,-4,-11,37,23,72,0.0,1012,-4,10,297,23,baltimore
2010-01-02 09:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-10,-12,-4,-12,56,98,63,0.0,1012,-4,10,307,41,baltimore
2010-01-02 12:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-10,-10,-2,-10,42,100,55,0.0,1011,-2,10,315,35,baltimore
2010-01-02 15:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-11,-13,-4,-13,57,97,58,0.0,1013,-4,10,308,42,baltimore
2010-01-02 18:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-12,-13,-5,-13,45,100,58,0.0,1014,-5,10,308,31,baltimore
2010-01-02 21:00:00,0,0,0.0,3.5,2,85,07:29 PM,08:52 AM,07:27 AM,04:55 PM,-13,-17,-7,-17,59,85,62,0.0,1014,-7,10,305,42,baltimore
2010-01-03 00:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-13,-16,-7,-16,46,48,63,0.0,1013,-7,10,310,32,baltimore
2010-01-03 03:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-14,-19,-8,-19,63,65,65,0.0,1013,-8,10,296,43,baltimore
2010-01-03 06:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-14,-18,-9,-18,39,58,64,0.0,1010,-9,10,286,28,baltimore
2010-01-03 09:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-14,-18,-7,-18,62,37,57,0.0,1010,-7,10,297,49,baltimore
2010-01-03 12:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-11,-12,-4,-12,44,69,55,0.0,1007,-4,10,291,36,baltimore
2010-01-03 15:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-11,-14,-5,-14,69,94,61,0.0,1009,-5,10,300,49,baltimore
2010-01-03 18:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-10,-11,-4,-11,35,99,65,0.0,1010,-4,10,298,24,baltimore
2010-01-03 21:00:00,0,0,0.0,5.2,2,77,08:45 PM,09:27 AM,07:27 AM,04:56 PM,-10,-14,-5,-14,58,98,66,0.0,1011,-5,10,310,40,baltimore
2010-01-04 00:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-10,-12,-4,-12,38,88,65,0.0,1011,-4,10,306,26,baltimore
2010-01-04 03:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-10,-13,-5,-13,51,89,68,0.0,1012,-5,10,305,34,baltimore
2010-01-04 06:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-9,-10,-4,-10,25,89,69,0.0,1011,-4,10,302,16,baltimore
2010-01-04 09:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-9,-10,-3,-10,41,100,63,0.0,1012,-3,2,309,31,baltimore
2010-01-04 12:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-8,-7,-1,-7,28,100,59,0.0,1010,-1,10,304,22,baltimore
2010-01-04 15:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-7,-9,-2,-9,42,87,65,0.1,1010,-2,0,306,30,baltimore
2010-01-04 18:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-7,-8,-2,-8,28,88,71,0.0,1012,-2,10,295,18,baltimore
2010-01-04 21:00:00,0,0,0.0,3.5,1,70,09:59 PM,09:57 AM,07:27 AM,04:57 PM,-8,-10,-3,-10,42,94,71,0.1,1012,-3,0,308,28,baltimore
2010-01-05 00:00:00,0,0,0.1,3.5,1,63,11:09 PM,10:25 AM,07:27 AM,04:58 PM,-7,-8,-3,-8,21,93,71,0.0,1012,-3,10,293,13,baltimore
2010-01-05 03:00:00,0,0,0.1,3.5,1,63,11:09 PM,10:25 AM,07:27 AM,04:58 PM,-8,-10,-4,-10,29,92,75,0.1,1013,-4,5,306,19,baltimore
2010-01-05 06:00:00,0,0,0.1,3.5,1,63,11:09 PM,10:25 AM,07:27 AM,04:58 PM,-8,-9,-4,-9,22,80,74,0.0,1012,-4,10,313,14,baltimore
2010-01-05 09:00:00,0,0,0.1,3.5,1,63,11:09 PM,10:25 AM,07:27 AM,04:58 PM,-8,-9,-2,-9,36,78,64,0.0,1013,-2,2,313,27,baltimore
