,date_time,temperature,humidity,pressure,cloudcover
0,2010-01-01 00:00:00,30.2,97,1016,75
1,2010-01-01 03:00:00,32.0,96,1015,23
2,2010-01-01 06:00:00,28.4,95,1015,20
3,2010-01-01 09:00:00,35.6,90,1015,18
4,2010-01-01 12:00:00,41.0,89,1013,51
5,2010-01-01 15:00:00,37.4,87,1012,14
6,2010-01-01 18:00:00,28.4,84,1014,11
7,2010-01-01 21:00:00,26.6,81,1013,22
8,2010-01-02 00:00:00,24.8,78,1012,11
9,2010-01-02 03:00:00,24.8,75,1012,50
10,2010-01-02 06:00:00,24.8,72,1012,23
11,2010-01-02 09:00:00,24.8,63,1012,98
12,2010-01-02 12:00:00,28.4,55,1011,100
13,2010-01-02 15:00:00,24.8,58,1013,97
14,2010-01-02 18:00:00,23.0,58,1014,100
15,2010-01-02 21:00:00,19.4,62,1014,85
16,2010-01-03 00:00:00,19.4,63,1013,48
17,2010-01-03 03:00:00,17.6,65,1013,65
18,2010-01-03 06:00:00,15.8,64,1010,58
19,2010-01-03 09:00:00,19.4,57,1010,37
20,2010-01-03 12:00:00,24.8,55,1007,69
21,2010-01-03 15:00:00,23.0,61,1009,94
22,2010-01-03 18:00:00,24.8,65,1010,99
23,2010-01-03 21:00:00,23.0,66,1011,98
24,2010-01-04 00:00:00,24.8,65,1011,88
25,2010-01-04 03:00:00,23.0,68,1012,89
26,2010-01-04 06:00:00,24.8,69,1011,89
27,2010-01-04 09:00:00,26.6,63,1012,100
28,2010-01-04 12:00:00,30.2,59,1010,100
29,2010-01-04 15:00:00,28.4,65,1010,87
30,2010-01-04 18:00:00,28.4,71,1012,88
31,2010-01-04 21:00:00,26.6,71,1012,94
32,2010-01-05 00:00:00,26.6,71,1012,93
33,2010-01-05 03:00:00,24.8,75,1013,92
34,2010-01-05 06:00:00,24.8,74,1012,80
35,2010-01-05 09:00:00,28.4,64,1013,78
36,2010-01-05 12:00:00,33.8,58,1010,100
37,2010-01-05 15:00:00,30.2,64,1010,100
38,2010-01-05 18:00:00,28.4,67,1011,100
39,2010-01-05 21:00:00,26.6,74,1011,98
40,2010-01-06 00:00:00,28.4,71,1011,98
41,2010-01-06 03:00:00,28.4,72,1010,81
42,2010-01-06 06:00:00,28.4,75,1011,100
43,2010-01-06 09:00:00,32.0,68,1012,84
44,2010-01-06 12:00:00,35.6,65,1011,77
45,2010-01-06 15:00:00,33.8,70,1012,39
46,2010-01-06 18:00:00,30.2,73,1013,45
47,2010-01-06 21:00:00,28.4,75,1015,52
48,2010-01-07 00:00:00,28.4,76,1015,64
49,2010-01-07 03:00:00,28.4,74,1017,33
50,2010-01-07 06:00:00,26.6,77,1017,20
51,2010-01-07 09:00:00,32.0,65,1017,32
52,2010-01-07 12:00:00,35.6,57,1016,26
53,2010-01-07 15:00:00,32.0,66,1015,49
54,2010-01-07 18:00:00,28.4,77,1015,46
55,2010-01-07 21:00:00,26.6,77,1013,100
56,2010-01-08 00:00:00,28.4,88,1012,100
57,2010-01-08 03:00:00,28.4,92,1010,100
58,2010-01-08 06:00:00,28.4,91,1009,79
59,2010-01-08 09:00:00,26.6,71,1011,39
60,2010-01-08 12:00:00,28.4,65,1011,36
61,2010-01-08 15:00:00,24.8,71,1013,61
62,2010-01-08 18:00:00,23.0,77,1015,25
63,2010-01-08 21:00:00,21.2,83,1017,51
64,2010-01-09 00:00:00,21.2,84,1018,82
65,2010-01-09 03:00:00,21.2,83,1019,24
66,2010-01-09 06:00:00,21.2,86,1021,18
67,2010-01-09 09:00:00,23.0,77,1022,33
68,2010-01-09 12:00:00,30.2,67,1021,3
69,2010-01-09 15:00:00,28.4,73,1021,3
70,2010-01-09 18:00:00,24.8,81,1024,0
71,2010-01-09 21:00:00,21.2,84,1025,0
72,2010-01-10 00:00:00,19.4,85,1026,0
73,2010-01-10 03:00:00,15.8,84,1026,0
74,2010-01-10 06:00:00,15.8,79,1028,0
75,2010-01-10 09:00:00,19.4,64,1028,3
76,2010-01-10 12:00:00,28.4,55,1027,12
77,2010-01-10 15:00:00,24.8,65,1026,3
78,2010-01-10 18:00:00,21.2,79,1027,3
79,2010-01-10 21:00:00,19.4,78,1026,6
80,2010-01-11 00:00:00,19.4,81,1027,6
81,2010-01-11 03:00:00,17.6,80,1026,2
82,2010-01-11 06:00:00,17.6,81,1025,7
83,2010-01-11 09:00:00,23.0,63,1025,48
84,2010-01-11 12:00:00,32.0,53,1021,27
85,2010-01-11 15:00:00,30.2,61,1019,14
86,2010-01-11 18:00:00,24.8,78,1020,34
87,2010-01-11 21:00:00,24.8,75,1020,100
88,2010-01-12 00:00:00,26.6,86,1022,88
89,2010-01-12 03:00:00,24.8,83,1020,32
90,2010-01-12 06:00:00,23.0,83,1022,38
91,2010-01-12 09:00:00,26.6,68,1023,28
92,2010-01-12 12:00:00,32.0,61,1021,12
93,2010-01-12 15:00:00,30.2,68,1020,25
94,2010-01-12 18:00:00,26.6,82,1023,8
95,2010-01-12 21:00:00,24.8,85,1024,25
96,2010-01-13 00:00:00,24.8,87,1025,11
97,2010-01-13 03:00:00,24.8,87,1025,44
98,2010-01-13 06:00:00,24.8,87,1027,47
99,2010-01-13 09:00:00,28.4,76,1027,47
100,2010-01-13 12:00:00,35.6,70,1024,24
101,2010-01-13 15:00:00,33.8,72,1023,21
102,2010-01-13 18:00:00,26.6,80,1023,3
103,2010-01-13 21:00:00,24.8,79,1023,2
104,2010-01-14 00:00:00,24.8,83,1024,0
105,2010-01-14 03:00:00,26.6,80,1024,3
106,2010-01-14 06:00:00,23.0,84,1025,4
107,2010-01-14 09:00:00,35.6,75,1025,0
108,2010-01-14 12:00:00,41.0,77,1024,0
109,2010-01-14 15:00:00,37.4,74,1023,10
110,2010-01-14 18:00:00,32.0,86,1024,34
111,2010-01-14 21:00:00,32.0,83,1023,32
112,2010-01-15 00:00:00,30.2,91,1023,48
113,2010-01-15 03:00:00,32.0,87,1022,54
114,2010-01-15 06:00:00,32.0,85,1023,32
115,2010-01-15 09:00:00,41.0,62,1023,35
116,2010-01-15 12:00:00,50.0,68,1022,63
117,2010-01-15 15:00:00,44.6,83,1021,29
118,2010-01-15 18:00:00,39.2,93,1024,62
119,2010-01-15 21:00:00,39.2,93,1024,58
120,2010-01-16 00:00:00,37.4,93,1025,17
121,2010-01-16 03:00:00,35.6,92,1024,4
122,2010-01-16 06:00:00,33.8,95,1025,71
123,2010-01-16 09:00:00,37.4,94,1025,81
124,2010-01-16 12:00:00,46.4,89,1024,64
125,2010-01-16 15:00:00,44.6,92,1021,21
126,2010-01-16 18:00:00,39.2,96,1022,9
127,2010-01-16 21:00:00,37.4,96,1021,54
128,2010-01-17 00:00:00,35.6,96,1020,83
129,2010-01-17 03:00:00,37.4,96,1019,100
130,2010-01-17 06:00:00,37.4,96,1016,100
131,2010-01-17 09:00:00,39.2,97,1013,100
132,2010-01-17 12:00:00,39.2,94,1008,100
133,2010-01-17 15:00:00,41.0,96,1004,100
134,2010-01-17 18:00:00,41.0,97,1002,100
135,2010-01-17 21:00:00,41.0,96,1001,100
136,2010-01-18 00:00:00,37.4,92,1002,100
137,2010-01-18 03:00:00,37.4,91,1006,84
138,2010-01-18 06:00:00,37.4,95,1008,53
139,2010-01-18 09:00:00,42.8,84,1010,19
140,2010-01-18 12:00:00,51.8,78,1011,18
141,2010-01-18 15:00:00,48.2,82,1011,4
142,2010-01-18 18:00:00,39.2,93,1014,5
143,2010-01-18 21:00:00,35.6,92,1014,5
144,2010-01-19 00:00:00,35.6,92,1015,4
145,2010-01-19 03:00:00,33.8,93,1014,14
146,2010-01-19 06:00:00,33.8,93,1014,40
147,2010-01-19 09:00:00,44.6,85,1013,20
148,2010-01-19 12:00:00,51.8,72,1012,12
149,2010-01-19 15:00:00,48.2,81,1011,64
150,2010-01-19 18:00:00,41.0,91,1012,5
151,2010-01-19 21:00:00,37.4,89,1013,23
152,2010-01-20 00:00:00,33.8,88,1014,4
153,2010-01-20 03:00:00,32.0,84,1014,25
154,2010-01-20 06:00:00,32.0,82,1016,30
155,2010-01-20 09:00:00,37.4,62,1016,8
156,2010-01-20 12:00:00,41.0,54,1016,32
